Type,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Treated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,Untreated,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,No_Ag,,
348.434,2005.86,2880.64,2861.14,2099.64,2048.14,1864.21,2142.29,1913.5,2220.5,2722.71,2459.57,2707.86,2608.21,2332.43,2353.57,2531.14,2604.71,2634.36,387.571,393,396.286,612.643,595.714,587.643,492.571,510.714,530.714,,
350.218,2031.29,2901.57,2851.29,2095.64,2046.43,1868.79,2145.71,1919.14,2239.64,2729.43,2475.93,2702.71,2611.93,2322.21,2344.14,2544.07,2605.43,2647.43,398.714,397.071,399.5,621.857,600.857,590.929,490.714,509.857,529.214,,
352.002,2021,2898,2852.57,2100.07,2054.36,1875.21,2155.14,1922.64,2227.21,2723.79,2481.86,2704,2601.86,2323.86,2344.57,2542.07,2597.29,2647.79,396.5,392.857,399.429,620.5,599.714,586.571,498,515.214,534.357,,
353.785,2034.64,2898.93,2863.93,2092.07,2048.5,1877.43,2147.79,1909.36,2226.79,2725.93,2478.64,2704.14,2627.07,2329.57,2371.07,2533.64,2608,2652.64,394.571,386.714,400.286,615.571,593.857,586.643,495.714,511.929,540.857,,
355.568,2030.07,2893.86,2843.79,2084.79,2067,1888.21,2152.93,1912.57,2243.29,2726.57,2479.86,2714.43,2613.43,2317.36,2364.07,2543.14,2593.21,2643.5,399.643,394.571,396.286,614.357,593.143,593.5,490.714,508.714,537.714,,
357.351,2031.07,2908.64,2867,2107.21,2062.21,1876.71,2147.57,1924.43,2258.5,2721.29,2502.86,2714.64,2615.21,2324,2351.21,2546.43,2593.57,2633.14,397.714,394.143,396.857,619.786,595.5,593.429,495.429,522.214,534.5,,
359.133,2042.64,2896.5,2885.21,2111.86,2072.21,1878.64,2153.64,1922.86,2251.57,2743.64,2488.79,2722.5,2621.71,2317.07,2353.93,2530.29,2606.57,2648.29,404.5,400.286,397.571,619.857,601.072,587.857,500.571,519.143,536.143,,
360.915,2032.36,2914.86,2865.14,2110.57,2067.57,1880.86,2163.5,1923.29,2262.07,2759.07,2494.14,2729.71,2638.07,2327.93,2369.79,2542.86,2603,2652.43,397,403,397.286,615.857,598.571,596.357,497.857,519.929,538.714,,
362.697,2043.21,2908.93,2871.5,2122.57,2062.29,1871.64,2172.64,1922.5,2247.79,2729.64,2491.86,2738.79,2621.79,2352.86,2358.29,2532.36,2622.14,2664.71,396.929,392.929,396.429,623.929,604.357,592.357,497.357,516.286,541,,
364.478,2062,2923.86,2885.86,2130.14,2065.14,1883.29,2167.86,1915.71,2255.29,2731.43,2475.86,2745.5,2624.57,2338.43,2376.29,2552.86,2620.36,2656.57,395.071,397.857,394.214,625,610.643,594.857,500.071,519.286,539.643,,
366.259,2053.93,2926.29,2886.79,2113.57,2056,1888.29,2174.71,1933.36,2236.21,2722.07,2488,2741,2647,2334.5,2372.64,2550.79,2607.57,2665.5,392.929,394.214,396.429,625.5,608,606.429,492.643,520.214,543.286,,
368.04,2046.29,2922.14,2885.36,2113.14,2055.14,1876.71,2165.14,1925.79,2241.86,2740.21,2484.36,2736,2628.57,2330.57,2374,2559.64,2633.64,2648,396.071,398.929,401,621.786,606.643,593.786,495.857,523,542,,
369.82,2021.79,2921.71,2890.5,2108.29,2057.71,1895.21,2159.57,1928.21,2254.21,2736.21,2472.86,2754,2639.79,2330.79,2374.86,2545,2601.07,2660,400.214,396.429,404.429,627.786,605.5,598.857,500.643,521.857,533.857,,
371.6,2026,2920.79,2897.93,2102.14,2063.07,1901.71,2169.79,1951.36,2263.93,2748.57,2474.64,2746.07,2617.43,2320.14,2359.07,2553.57,2596.57,2650.14,405.143,400,394.786,622,606.714,599.786,503,520.143,540.571,,
373.379,2039.57,2940.21,2893.21,2124.14,2073.07,1888.71,2170.36,1937.36,2265.29,2746.5,2480.14,2736.21,2628.57,2337.43,2368.86,2527.71,2605.57,2658.29,399.857,400.571,395.571,629.143,616.857,602.5,500.286,524.429,541.786,,
375.159,2044.64,2927.71,2892.57,2118,2073.14,1892,2167.57,1924.71,2269,2745.93,2474.36,2730.64,2628.5,2329.64,2364.21,2528,2600.21,2656.43,401.5,397,400.286,623.143,603.214,594.571,504.857,523.286,542.143,,
376.938,2056.64,2943.14,2905.07,2122.64,2082.36,1891,2173.86,1937.93,2263.64,2728.43,2468.43,2759.64,2629.14,2344,2375.79,2554.36,2600.43,2652,400.643,396,404.571,621.5,604,602.929,503.143,523,544.357,,
378.716,2053.21,2936.14,2911,2121.79,2072.93,1879.86,2185.93,1926.71,2267.43,2748.14,2469.07,2744.43,2636.29,2322.21,2361.29,2545.29,2595.71,2637.36,397,396.714,400.786,625,598.714,595.429,503.929,523.357,539,,
380.494,2059.5,2928.57,2900.07,2120.21,2064.36,1879.86,2185,1939.21,2267.5,2724.43,2481.29,2760.86,2638.86,2342.64,2374.71,2544.07,2596.43,2643.14,398.643,396.714,400.286,629.929,610.5,600.357,509.286,521.571,541.214,,
382.272,2048.79,2942.64,2903.07,2125.93,2070.07,1886.14,2176.36,1944.43,2256.93,2717.07,2470.57,2761.07,2632,2324.43,2381.71,2536.57,2597.29,2652.64,397.286,399.286,399.143,623.786,605.643,602.143,499.357,520,544.5,,
384.05,2063.14,2958.43,2895.93,2118.79,2074.71,1898.93,2174.57,1941.79,2259.14,2726.93,2487.07,2750.93,2647.57,2349.64,2380.64,2548.29,2606.71,2662.86,402.714,400.071,395.786,628.5,609.429,610.143,497.429,519.643,540.071,,
385.827,2052,2953,2908.5,2129.29,2075.71,1887.93,2182,1934.93,2280.43,2732.71,2476.36,2743.5,2646.64,2359.29,2378.43,2562.57,2604.21,2645.14,407.786,391.214,408,627.571,615.786,594.643,497.143,527.214,539.143,,
387.604,2063.07,2951,2906.07,2117.5,2077.43,1891.93,2182.14,1939,2279.5,2744.21,2495.14,2753.43,2645.64,2344.07,2386.57,2552.71,2609.14,2643.86,404.429,398.786,402.071,629.214,614.357,599,509.857,522.786,540.143,,
